id,title,company,location,link,description
1,Junior DevOps Engineer (m/w/d),CloudWerk GmbH,Köln / Remote (NRW),https://example.com/jobs/1,"Wir suchen einen Junior DevOps Engineer. Du arbeitest taeglich mit Docker, Kubernetes, AWS, Terraform und CI/CD Pipelines ueber GitHub Actions. Linux und Automatisierung gehoeren zu deinem Alltag. Quereinsteiger mit praktischen Projekten und einem GitHub Portfolio sind ausdruecklich willkommen. Remote in NRW moeglich."
2,Junior Cloud Engineer,Nordlicht Systems,Essen (NRW),https://example.com/jobs/2,"Als Junior Cloud Engineer betreust du unsere AWS Infrastruktur mit Terraform. Du arbeitest mit Kubernetes und baust CI/CD Pipelines mit GitLab. Linux Kenntnisse sind wichtig. Remote-Anteil moeglich, Standort Essen."
3,Junior Fullstack Developer (Angular & Laravel),Shopliner AG,Düsseldorf / Remote,https://example.com/jobs/3,"Junior Fullstack Developer fuer unseren Webshop. Stack: Angular, Laravel, Docker und Git. Quereinsteiger mit Portfolio sind willkommen, Motivation zaehlt. Standort Duesseldorf, Remote moeglich."
4,Junior Platform Engineer (m/w/d),Skaleon,Remote (Deutschland),https://example.com/jobs/4,"Du baust unsere interne Plattform mit Kubernetes, Helm, Terraform und AWS. Observability mit Grafana und Prometheus. GitHub Actions, Linux und Automatisierung runden das Profil ab. Komplett remote in Deutschland."
5,DevOps Engineer,Industrie IT Partner,München,https://example.com/jobs/5,"Fuer unser DevOps Team suchen wir Verstaerkung. Du hast mindestens 3 Jahre Berufserfahrung mit Docker, Kubernetes und AWS. Gute Linux Kenntnisse werden vorausgesetzt."
6,Senior Cloud Architect,Enterprise Solutions GmbH,Berlin,https://example.com/jobs/6,"Wir suchen einen Senior Cloud Architect mit 5+ Jahren Erfahrung. Ein abgeschlossenes Studium der Informatik ist zwingend erforderlich. Tiefes Wissen in AWS und Kubernetes wird vorausgesetzt."
7,SAP ABAP Entwickler (m/w/d),Mittelstand Software AG,Stuttgart,https://example.com/jobs/7,"Entwicklung und Wartung von Anwendungen in SAP ABAP. Mehrjaehrige Erfahrung in der ABAP Programmierung erforderlich. Kenntnisse in S/4HANA von Vorteil."
8,Embedded C++ Entwickler,Sensorik Technik GmbH,Stuttgart,https://example.com/jobs/8,"Embedded-Entwicklung in C++ fuer Mikrocontroller. Hardwarenahe Programmierung und Echtzeitsysteme. Erfahrung mit Embedded Linux von Vorteil."
9,1st Level IT Support,BueroDienst GmbH,Dortmund,https://example.com/jobs/9,"Fuer unseren Helpdesk suchen wir Verstaerkung im 1st Level Support. Aufgaben: User-Support, Ticketbearbeitung und Service Desk. Erste Anlaufstelle fuer Anwenderfragen."
10,Netzwerkadministrator,Stadtwerke Region,Bonn,https://example.com/jobs/10,"Administration unserer Netzwerk-Infrastruktur. Cisco Komponenten, Firewall-Administration und LAN/WAN. Betreuung der Netzwerkverkabelung an mehreren Standorten."
11,Werkstudent DevOps (m/w/d),Startup Rocket UG,Remote (NRW),https://example.com/jobs/11,"Werkstudent im Bereich DevOps. Du lernst Docker, Linux, Automatisierung und GitHub Actions kennen. Quereinsteiger willkommen. Remote in NRW, flexible Zeiten."
12,Junior Java Backend Developer,FinTech Hub GmbH,Dortmund (hybrid),https://example.com/jobs/12,"Junior Java Backend Developer. Stack: Java, Spring Boot und Docker. Gute Linux Kenntnisse von Vorteil. Standort Dortmund, hybrides Arbeiten moeglich."
13,Junior DevOps Engineer mit Studium,BigCorp IT,Hamburg,https://example.com/jobs/13,"Junior DevOps Engineer gesucht. Ein abgeschlossenes Studium der Informatik ist erforderlich. Du arbeitest mit Docker, Kubernetes und AWS in einem grossen Team."
